destination_id,name,type,state,popularity,best_time_to_visit,entry_fee,average_rating,total_reviews,latitude,longitude,budget_level,description
13,Hawa Mahal,Historical,Rajasthan,99,Oct-Mar,50,4.2,3220,26.92,75.82,Low,"The Palace of Winds, a stunning five-story palace with 953 small windows (jharokhas) decorated with intricate latticework."
14,Mehrangarh Fort,Historical,Rajasthan,83,Oct-Mar,100,4.3,1732,26.29,73.01,Medium,"One of the most magnificent and well-preserved forts in India, located in the blue city of Jodhpur."
15,Jaisalmer Fort,Historical,Rajasthan,62,Oct-Mar,50,4.1,2305,26.91,70.91,Low,"A desert fort that rises from the sands of the Thar Desert, also known as the Golden Fort."
16,Lake Palace Udaipur,Heritage,Rajasthan,81,Oct-Mar,250,3.5,1204,24.57,73.68,High,"A stunning palace hotel built in the middle of Lake Pichola in Udaipur, the City of Lakes."
17,Chittorgarh Fort,Historical,Rajasthan,61,Oct-Mar,100,3.7,4549,24.88,74.64,Medium,"A magnificent 7th-century fort complex in Rajasthan, considered the pride of Rajputs."
18,Ranthambore Tiger Reserve,Wildlife,Rajasthan,83,Oct-Mar,200,3.5,3241,25.98,76.5,Medium,"One of the finest wildlife reserves in India, known for Bengal tigers."
19,Pushkar Lake,Spiritual,Rajasthan,89,Oct-Mar,0,4.5,1746,26.48,74.55,Low,"A sacred city built around a lake, famous for the Brahma Temple and annual Pushkar Camel Fair."
20,Jantar Mantar,Historical,Rajasthan,97,Oct-Mar,40,4.0,4041,26.92,75.82,Low,"A UNESCO World Heritage Site, an astronomical instrument collection built in the 18th century."
21,Hampi,Heritage,Karnataka,61,Oct-Feb,40,4.3,4773,15.33,76.46,Low,"An ancient city that was once the capital of the Vijayanagara Empire, a UNESCO World Heritage Site."
22,Mysore Palace,Historical,Karnataka,80,Oct-Feb,200,4.9,4732,12.3,76.65,Medium,"A magnificent palace in Mysore, one of the largest palaces in India, illuminated by 100,000 bulbs."
23,Brihadeeswarar Temple,Spiritual,Tamil Nadu,92,Nov-Mar,50,3.9,1698,10.78,79.13,Low,"A UNESCO World Heritage Site and one of the greatest temples of India, dedicated to Lord Shiva."
24,Meenakshi Amman Temple,Spiritual,Tamil Nadu,71,Nov-Mar,50,4.1,1495,9.91,78.12,Low,"A magnificent temple dedicated to Goddess Meenakshi, known for its stunning colorful gopurams."
25,Shore Temple Mahabalipuram,Historical,Tamil Nadu,81,Nov-Mar,40,4.6,4249,12.62,80.19,Low,"A group of ancient temples built by the Pallava kings, overlooking the Bay of Bengal."
26,Coorg,Nature,Karnataka,84,Sep-May,0,3.8,3973,12.33,75.73,Low,"A hill station in Karnataka known for its coffee plantations, misty valleys, and waterfalls."
27,Ooty,Nature,Tamil Nadu,86,Apr-Jun,0,3.6,303,11.41,76.69,Low,"A picturesque hill station in Tamil Nadu, known as the Queen of Hill Stations."
28,Munnar,Nature,Kerala,87,Sep-May,0,3.9,3233,10.08,77.06,Low,"A breathtakingly beautiful hill station in Kerala, famous for its lush tea plantations."
29,Kodaikanal,Nature,Tamil Nadu,75,Apr-Jun,0,3.7,2607,10.23,77.47,Low,"A charming hill station in Tamil Nadu, the Princess of Hill Stations, surrounded by forests."
30,Wayanad,Nature,Kerala,74,Sep-May,0,4.9,148,11.68,76.08,Low,"A pristine wildlife sanctuary in Kerala with dense forests, wildlife, and tribal communities."
31,Alleppey Backwaters,Nature,Kerala,62,Sep-Mar,0,4.7,2250,9.49,76.33,Low,"Known as the Venice of the East, famous for its serene backwater network and houseboat experiences."
32,Kovalam Beach,Beach,Kerala,96,Sep-Mar,0,4.5,3011,8.4,76.98,Low,A beautiful beach town in Kerala with stunning shores and a vibrant fishing community.
33,Periyar Wildlife Sanctuary,Wildlife,Kerala,66,Sep-Mar,0,4.8,4483,9.46,77.31,Low,"A wildlife sanctuary centered around Periyar Lake, home to elephants and tigers."
34,Varkala Beach,Beach,Kerala,80,Sep-Mar,0,4.7,3827,8.73,76.86,Low,"A cliff-side beach town famous for its laterite cliffs, natural springs, and peaceful atmosphere."
35,Thekkady,Wildlife,Kerala,68,Sep-Mar,0,3.8,2919,9.6,77.16,Low,"A beautiful wildlife sanctuary in Kerala, famous for elephants, spice plantations, and boating."
36,Fort Kochi,Heritage,Kerala,98,Oct-Feb,0,4.8,3284,9.96,76.24,Low,"A historic port city with colonial architecture, Chinese fishing nets, and vibrant culture."
37,Athirapally Falls,Nature,Kerala,77,Jun-Sep,0,4.3,3841,10.27,76.57,Low,"One of India's most spectacular waterfalls, surrounded by dense forests and wildlife."
38,Kalpetta,Nature,Kerala,63,Sep-Mar,0,4.7,1006,11.56,76.55,Low,"A tranquil hill town in Wayanad, surrounded by misty mountains and coffee plantations."
39,Bekal Fort,Historical,Kerala,84,Oct-Feb,0,4.8,4117,12.38,75.49,Low,"A beautiful beach fort in Kerala, built by Portuguese traders in the 16th century."
40,Marari Beach,Beach,Kerala,73,Sep-Mar,0,4.0,210,9.59,76.55,Low,"A pristine beach in Kerala, known for its untouched beauty and coconut palms."
41,Calangute Beach,Beach,Goa,68,Nov-Feb,0,3.7,4543,15.52,73.75,Low,"India's most popular tourist beach, known for its vibrant atmosphere and water sports."
42,Baga Beach,Beach,Goa,85,Nov-Feb,0,3.8,1350,15.55,73.83,Low,"A lively beach in Goa, famous for its nightlife, restaurants, and water sports."
43,Anjuna Beach,Beach,Goa,61,Nov-Feb,0,4.1,4961,15.58,73.74,Low,"A bohemian beach in North Goa, famous for its flea markets and hippie culture."
44,Palolem Beach,Beach,Goa,79,Nov-Feb,0,4.7,4037,15.01,74.02,Low,"One of the most beautiful beaches in Goa, a crescent-shaped bay with pristine sands."
45,Basilica of Bom Jesus,Spiritual,Goa,87,Nov-Feb,30,4.8,1577,15.5,73.92,Low,"A UNESCO World Heritage Site, the oldest church in India with the mortal remains of St. Francis Xavier."
46,Dudhsagar Falls,Nature,Goa,66,Jun-Sep,0,3.5,1268,15.31,74.31,Low,"One of Goa's most spectacular waterfalls, surrounded by spice plantations."
47,Chapora Fort,Historical,Goa,67,Nov-Feb,0,4.3,4546,15.62,73.86,Low,A scenic clifftop fort in North Goa with stunning views of the Arabian Sea.
48,Colva Beach,Beach,Goa,94,Nov-Feb,0,4.1,4785,15.27,73.92,Low,A peaceful beach in South Goa with a relaxed atmosphere and scenic views.
49,Candolim Beach,Beach,Goa,73,Nov-Feb,0,3.8,3154,15.52,73.87,Low,"A clean, less-crowded beach in North Goa with beautiful white sands."
50,Vagator Beach,Beach,Goa,76,Nov-Feb,0,3.7,2785,15.59,73.86,Low,A dramatic beach with towering red and black volcanic cliffs in North Goa.
51,Shimla,Hill Station,Himachal Pradesh,95,Mar-Jun,0,4.0,4605,31.1,77.17,Medium,"The summer capital of British India, a charming hill station in Himachal Pradesh."
52,Manali,Hill Station,Himachal Pradesh,99,Mar-Jun,0,4.9,1004,32.24,77.18,Medium,"A popular hill station in the Kullu Valley, gateway to the high Himalayas."
53,Dharamsala,Cultural,Himachal Pradesh,63,Mar-Jun,0,4.0,4615,32.21,76.31,Medium,"Home of the Dalai Lama and the Tibetan government in exile, a spiritual and cultural hub."
54,Rohtang Pass,Adventure,Himachal Pradesh,61,May-Jun,0,4.3,3496,32.37,77.15,Medium,"A high mountain pass in the Himalayas, offering stunning views of snowcapped peaks."
55,Solang Valley,Adventure,Himachal Pradesh,65,Dec-Feb,0,4.6,1095,32.32,77.13,Medium,"A beautiful valley with adventure activities like skiing, zorbing, and paragliding."
56,Kasol,Nature,Himachal Pradesh,63,Mar-May,0,4.0,1743,31.99,77.11,Low,"A picturesque village on the banks of the Parvati River, a paradise for trekkers."
57,Spiti Valley,Adventure,Himachal Pradesh,88,Apr-Jun,0,5.0,3486,32.08,77.11,Low,"A remote and starkly beautiful valley in the Himalayas, one of the coldest places in India."
58,Kullu,Hill Station,Himachal Pradesh,77,Mar-Jun,0,4.9,612,31.95,77.1,Medium,"A scenic valley town in Himachal Pradesh, adventure hub of the western Himalayas."
59,Dalhousie,Hill Station,Himachal Pradesh,85,Mar-Jun,0,3.9,2535,32.53,75.97,Medium,"A beautiful hill station in Himachal Pradesh, known as the Scotland of India."
60,Khajjiar,Nature,Himachal Pradesh,93,Mar-Jun,0,4.2,3404,32.04,77.12,Low,A small tourist destination often called the Mini Switzerland of India.
61,Rishikesh,Spiritual,Uttarakhand,69,Sep-Jun,0,4.0,275,30.08,78.26,Low,"The Yoga Capital of the World, famous for yoga, meditation, and Ganga Aarti."
62,Haridwar,Spiritual,Uttarakhand,95,Sep-Jun,0,3.9,4943,29.94,78.16,Low,"One of the holiest cities in India, on the banks of the Ganges, famous for Ganga Aarti."
63,Mussoorie,Hill Station,Uttarakhand,73,Mar-Jun,0,3.6,1009,30.45,78.07,Low,"The Queen of Hills, a scenic hill station in Uttarakhand with toy train and colonial architecture."
64,Nainital,Hill Station,Uttarakhand,90,Mar-Jun,0,4.4,4598,29.37,78.98,Low,"A beautiful lake city in the Kumaon Himalayas, surrounded by forests."
65,Jim Corbett National Park,Wildlife,Uttarakhand,74,Nov-Jun,1000,4.3,3117,29.53,79.21,High,"The oldest national park in Asia, famous for Bengal tigers and elephant safaris."
66,Auli,Adventure,Uttarakhand,67,Dec-Mar,0,3.6,865,30.52,79.57,Medium,A ski resort in Uttarakhand with breathtaking views of the Garhwal Himalayas.
67,Valley of Flowers,Nature,Uttarakhand,73,Jul-Aug,0,3.9,4804,30.73,79.6,Low,"A UNESCO World Heritage Site, a valley of hundreds of wild flower species in the Himalayas."
68,Kedarnath Temple,Spiritual,Uttarakhand,82,May-Jun,0,4.9,4692,30.73,79.46,Low,"A sacred Shiva temple in the Garhwal Himalayas, one of the Char Dham pilgrimage sites."
69,Badrinath Temple,Spiritual,Uttarakhand,99,May-Jun,0,3.9,3170,30.73,79.45,Low,"One of the holiest temples in Hinduism, dedicated to Lord Vishnu, in the Garhwal Himalayas."
70,Chopta,Nature,Uttarakhand,80,Mar-Jun,0,3.7,66,30.64,79.21,Low,"A beautiful meadow in Uttarakhand, a perfect trek for beginners."
71,Gateway of India,Historical,Maharashtra,75,Oct-Mar,0,4.2,1293,18.92,72.83,Low,A massive arch built in 1924 by the British to commemorate the landing of King George V.
72,Marine Drive Mumbai,Beach,Maharashtra,77,Oct-Mar,0,5.0,2255,18.94,72.82,Low,"A 3.6 km long boulevard along the coast of Mumbai, the most beautiful promenade in India."
73,Elephanta Caves,Heritage,Maharashtra,83,Oct-Mar,15,3.9,2574,18.47,72.93,Low,"A group of cave temples on Elephanta Island near Mumbai, dedicated to Lord Shiva."
74,Ajanta Caves,Heritage,Maharashtra,85,Oct-Mar,40,4.5,1119,20.55,75.75,Medium,A UNESCO World Heritage Site with 30 rock-cut Buddhist caves from the 2nd century BCE.
75,Ellora Caves,Heritage,Maharashtra,84,Oct-Mar,40,4.6,3494,19.92,75.34,Medium,"A UNESCO World Heritage Site with 34 cave temples dedicated to Hindu, Buddhist, and Jain traditions."
76,Lonavala,Nature,Maharashtra,88,Jun-Sep,0,3.9,2615,18.75,73.4,Low,"A popular hill station near Mumbai, famous for its scenic landscapes and waterfalls."
77,Mahabaleshwar,Hill Station,Maharashtra,74,Apr-Jun,0,4.6,1110,18.11,73.67,Medium,"A hill station in the Sahyadri range, known as the Strawberry Capital of India."
78,Aurangabad,Historical,Maharashtra,60,Oct-Mar,0,4.1,2377,19.88,75.32,Low,A city known as the gateway to the Ajanta and Ellora caves.
79,Shirdi,Spiritual,Maharashtra,84,Oct-Mar,0,4.4,3470,19.62,74.97,Low,"A holy town in Maharashtra, home to the Sai Baba temple."
80,Pune,Cultural,Maharashtra,66,Oct-Mar,0,4.5,351,18.52,73.85,Low,"The Oxford of the East, a vibrant city with numerous educational institutions and IT companies."
81,Kaziranga National Park,Wildlife,Assam,68,Nov-Apr,50,4.3,4326,26.63,93.2,Medium,"A UNESCO World Heritage Site, home to the Indian one-horned rhinoceros."
82,Cherrapunji,Nature,Meghalaya,83,Oct-Jun,25,3.6,656,25.28,91.68,Low,"The wettest place on Earth, famous for its living root bridges and meghalayan caves."
83,Shillong,Hill Station,Meghalaya,60,Oct-Jun,400,4.8,3220,25.56,91.88,High,"The capital of Meghalaya, a beautiful hill city with colonial architecture."
84,Tawang Monastery,Spiritual,Arunachal Pradesh,67,Apr-Oct,40,4.0,749,27.1,91.86,Medium,"A Buddhist monastery near the China border, the largest monastery in the country."
85,Ziro Valley,Nature,Arunachal Pradesh,83,Oct-May,0,3.8,1189,27.47,93.83,Low,"A remote valley in Arunachal Pradesh, home to the Apatani tribe."
86,Majuli Island,Nature,Assam,70,Oct-Apr,0,3.6,240,26.74,94.24,Low,"The largest river island in the world, known for its Vaishnavite monasteries and culture."
87,Dzukou Valley,Nature,Nagaland,76,Oct-May,0,4.4,2350,25.95,94.56,Low,A high-altitude valley in Nagaland with stunning landscapes and rich biodiversity.
88,Loktak Lake,Nature,Manipur,67,Oct-May,50,4.5,1030,24.78,93.77,Medium,"A freshwater lake in Manipur, home to floating islands and a unique ecosystem."
89,Kamakhya Temple,Spiritual,Assam,94,Oct-Mar,0,3.5,3025,26.18,91.72,Low,"A famous Hindu temple dedicated to Goddess Kamakhya, a major pilgrimage site in Assam."
90,Haflong,Nature,Assam,94,Oct-May,0,4.3,1234,25.06,93.02,Low,"A scenic hill station in Assam, surrounded by dense forests and picturesque lakes."
91,Radhanagar Beach Andaman,Beach,Andaman & Nicobar,92,Dec-May,500,3.8,3377,11.62,92.72,High,"Rated as one of the best beaches in Asia, with crystal clear turquoise waters."
92,Havelock Island,Beach,Andaman & Nicobar,64,Dec-May,100,4.5,3444,11.7,92.99,High,"The most popular island in the Andaman archipelago, with stunning beaches and marine life."
93,Cellular Jail Andaman,Historical,Andaman & Nicobar,98,Dec-May,30,3.8,177,11.67,92.68,Low,"A historical prison built during British rule, a National Memorial Monument."
94,Ross Island,Historical,Andaman & Nicobar,87,Dec-May,30,4.5,2115,11.72,92.75,Low,"The former capital of the Andaman Islands, with ruins of British buildings."
95,Neil Island,Beach,Andaman & Nicobar,66,Dec-May,200,4.1,1866,11.84,93.05,Medium,A serene island known for its beautiful beaches and coral reefs.
96,Lakshadweep,Beach,Lakshadweep,68,Oct-May,0,4.9,619,10.56,72.64,High,"A group of coral islands in the Arabian Sea, known for crystal clear waters and marine biodiversity."
97,Pondicherry,Cultural,Puducherry,67,Nov-Mar,0,3.7,1945,11.93,79.83,Low,"A French colonial city on the southeastern coast of India, known as the 'French Riviera of the East'."
98,Mahabalipuram,Historical,Tamil Nadu,71,Nov-Mar,40,4.0,2783,12.62,80.19,Low,An ancient coastal town with seven 7th-century rock-cut temples on the beach.
99,Rameshwaram,Spiritual,Tamil Nadu,93,Nov-Mar,0,3.7,3913,9.28,79.31,Low,A sacred pilgrimage site where Adam Bridge connecting India to Sri Lanka begins.
100,Kanyakumari,Nature,Tamil Nadu,92,Oct-Mar,0,4.9,4771,8.08,77.55,Low,"The southernmost tip of India where three seas meet - Arabian Sea, Bay of Bengal, and Indian Ocean."
