destination_id,name,type,state,popularity,best_time_to_visit,entry_fee,average_rating,total_reviews,latitude,longitude,budget_level,description,review_avg_rating,review_count,average_rating_normalized,type_encoded,state_encoded,budget_encoded,description_clean,tags
11,Amber Fort,Historical,Rajasthan,83,Oct-Mar,200,4.3,4140,26.98,75.85,Medium,"A stunning hilltop fort overlooking Maota Lake, a blend of Hindu and Mughal architecture.",3.6,10,0.5333333333333332,5,14,2,"a stunning hilltop fort overlooking maota lake, a blend of hindu and mughal architecture.",historical rajasthan oct-mar medium
12,City Palace Jaipur,Historical,Rajasthan,95,Oct-Mar,100,4.7,2106,26.92,75.82,Medium,"A magnificent palace complex in Jaipur, home to the royal family of Jaipur.",3.9,12,0.8000000000000003,5,14,2,"a magnificent palace complex in jaipur, home to the royal family of jaipur.",historical rajasthan oct-mar medium
13,Hawa Mahal,Historical,Rajasthan,99,Oct-Mar,50,4.2,3220,26.92,75.82,Low,"The Palace of Winds, a stunning five-story palace with 953 small windows (jharokhas) decorated with intricate latticework.",3.623076923076923,13,0.4666666666666668,5,14,1,"the palace of winds, a stunning five-story palace with 953 small windows (jharokhas) decorated with intricate latticework.",historical rajasthan oct-mar low
14,Mehrangarh Fort,Historical,Rajasthan,83,Oct-Mar,100,4.3,1732,26.29,73.01,Medium,"One of the most magnificent and well-preserved forts in India, located in the blue city of Jodhpur.",3.7700000000000005,10,0.5333333333333332,5,14,2,"one of the most magnificent and well-preserved forts in india, located in the blue city of jodhpur.",historical rajasthan oct-mar medium
15,Jaisalmer Fort,Historical,Rajasthan,62,Oct-Mar,50,4.1,2305,26.91,70.91,Low,"A desert fort that rises from the sands of the Thar Desert, also known as the Golden Fort.",3.7733333333333334,15,0.3999999999999999,5,14,1,"a desert fort that rises from the sands of the thar desert, also known as the golden fort.",historical rajasthan oct-mar low
16,Lake Palace Udaipur,Heritage,Rajasthan,81,Oct-Mar,250,3.5,1204,24.57,73.68,High,"A stunning palace hotel built in the middle of Lake Pichola in Udaipur, the City of Lakes.",3.84,5,0.0,3,14,3,"a stunning palace hotel built in the middle of lake pichola in udaipur, the city of lakes.",heritage rajasthan oct-mar high
17,Chittorgarh Fort,Historical,Rajasthan,61,Oct-Mar,100,3.7,4549,24.88,74.64,Medium,"A magnificent 7th-century fort complex in Rajasthan, considered the pride of Rajputs.",3.47,10,0.13333333333333375,5,14,2,"a magnificent 7th-century fort complex in rajasthan, considered the pride of rajputs.",historical rajasthan oct-mar medium
18,Ranthambore Tiger Reserve,Wildlife,Rajasthan,83,Oct-Mar,200,3.5,3241,25.98,76.5,Medium,"One of the finest wildlife reserves in India, known for Bengal tigers.",3.6555555555555554,9,0.0,9,14,2,"one of the finest wildlife reserves in india, known for bengal tigers.",wildlife rajasthan oct-mar medium
19,Pushkar Lake,Spiritual,Rajasthan,89,Oct-Mar,0,4.5,1746,26.48,74.55,Low,"A sacred city built around a lake, famous for the Brahma Temple and annual Pushkar Camel Fair.",3.6700000000000004,10,0.666666666666667,8,14,1,"a sacred city built around a lake, famous for the brahma temple and annual pushkar camel fair.",spiritual rajasthan oct-mar low
20,Jantar Mantar,Historical,Rajasthan,97,Oct-Mar,40,4.0,4041,26.92,75.82,Low,"A UNESCO World Heritage Site, an astronomical instrument collection built in the 18th century.",3.783333333333333,12,0.3333333333333335,5,14,1,"a unesco world heritage site, an astronomical instrument collection built in the 18th century.",historical rajasthan oct-mar low
21,Hampi,Heritage,Karnataka,61,Oct-Feb,40,4.3,4773,15.33,76.46,Low,"An ancient city that was once the capital of the Vijayanagara Empire, a UNESCO World Heritage Site.",3.358333333333333,12,0.5333333333333332,3,6,1,"an ancient city that was once the capital of the vijayanagara empire, a unesco world heritage site.",heritage karnataka oct-feb low
22,Mysore Palace,Historical,Karnataka,80,Oct-Feb,200,4.9,4732,12.3,76.65,Medium,"A magnificent palace in Mysore, one of the largest palaces in India, illuminated by 100,000 bulbs.",3.7750000000000004,12,0.9333333333333336,5,6,2,"a magnificent palace in mysore, one of the largest palaces in india, illuminated by 100,000 bulbs.",historical karnataka oct-feb medium
23,Brihadeeswarar Temple,Spiritual,Tamil Nadu,92,Nov-Mar,50,3.9,1698,10.78,79.13,Low,"A UNESCO World Heritage Site and one of the greatest temples of India, dedicated to Lord Shiva.",4.0600000000000005,10,0.2666666666666666,8,15,1,"a unesco world heritage site and one of the greatest temples of india, dedicated to lord shiva.",spiritual tamil nadu nov-mar low
24,Meenakshi Amman Temple,Spiritual,Tamil Nadu,71,Nov-Mar,50,4.1,1495,9.91,78.12,Low,"A magnificent temple dedicated to Goddess Meenakshi, known for its stunning colorful gopurams.",3.642857142857143,7,0.3999999999999999,8,15,1,"a magnificent temple dedicated to goddess meenakshi, known for its stunning colorful gopurams.",spiritual tamil nadu nov-mar low
25,Shore Temple Mahabalipuram,Historical,Tamil Nadu,81,Nov-Mar,40,4.6,4249,12.62,80.19,Low,"A group of ancient temples built by the Pallava kings, overlooking the Bay of Bengal.",3.85,12,0.7333333333333334,5,15,1,"a group of ancient temples built by the pallava kings, overlooking the bay of bengal.",historical tamil nadu nov-mar low
26,Coorg,Nature,Karnataka,84,Sep-May,0,3.8,3973,12.33,75.73,Low,"A hill station in Karnataka known for its coffee plantations, misty valleys, and waterfalls.",4.0,11,0.20000000000000018,7,6,1,"a hill station in karnataka known for its coffee plantations, misty valleys, and waterfalls.",nature karnataka sep-may low
27,Ooty,Nature,Tamil Nadu,86,Apr-Jun,0,3.6,303,11.41,76.69,Low,"A picturesque hill station in Tamil Nadu, known as the Queen of Hill Stations.",3.4285714285714284,7,0.06666666666666687,7,15,1,"a picturesque hill station in tamil nadu, known as the queen of hill stations.",nature tamil nadu apr-jun low
28,Munnar,Nature,Kerala,87,Sep-May,0,3.9,3233,10.08,77.06,Low,"A breathtakingly beautiful hill station in Kerala, famous for its lush tea plantations.",4.2625,8,0.2666666666666666,7,7,1,"a breathtakingly beautiful hill station in kerala, famous for its lush tea plantations.",nature kerala sep-may low
29,Kodaikanal,Nature,Tamil Nadu,75,Apr-Jun,0,3.7,2607,10.23,77.47,Low,"A charming hill station in Tamil Nadu, the Princess of Hill Stations, surrounded by forests.",3.8,10,0.13333333333333375,7,15,1,"a charming hill station in tamil nadu, the princess of hill stations, surrounded by forests.",nature tamil nadu apr-jun low
30,Wayanad,Nature,Kerala,74,Sep-May,0,4.9,148,11.68,76.08,Low,"A pristine wildlife sanctuary in Kerala with dense forests, wildlife, and tribal communities.",3.7636363636363637,11,0.9333333333333336,7,7,1,"a pristine wildlife sanctuary in kerala with dense forests, wildlife, and tribal communities.",nature kerala sep-may low
31,Alleppey Backwaters,Nature,Kerala,62,Sep-Mar,0,4.7,2250,9.49,76.33,Low,"Known as the Venice of the East, famous for its serene backwater network and houseboat experiences.",3.8636363636363638,11,0.8000000000000003,7,7,1,"known as the venice of the east, famous for its serene backwater network and houseboat experiences.",nature kerala sep-mar low
32,Kovalam Beach,Beach,Kerala,96,Sep-Mar,0,4.5,3011,8.4,76.98,Low,A beautiful beach town in Kerala with stunning shores and a vibrant fishing community.,3.7,15,0.666666666666667,1,7,1,a beautiful beach town in kerala with stunning shores and a vibrant fishing community.,beach kerala sep-mar low
33,Periyar Wildlife Sanctuary,Wildlife,Kerala,66,Sep-Mar,0,4.8,4483,9.46,77.31,Low,"A wildlife sanctuary centered around Periyar Lake, home to elephants and tigers.",4.046153846153846,13,0.8666666666666667,9,7,1,"a wildlife sanctuary centered around periyar lake, home to elephants and tigers.",wildlife kerala sep-mar low
34,Varkala Beach,Beach,Kerala,80,Sep-Mar,0,4.7,3827,8.73,76.86,Low,"A cliff-side beach town famous for its laterite cliffs, natural springs, and peaceful atmosphere.",3.66,5,0.8000000000000003,1,7,1,"a cliff-side beach town famous for its laterite cliffs, natural springs, and peaceful atmosphere.",beach kerala sep-mar low
35,Thekkady,Wildlife,Kerala,68,Sep-Mar,0,3.8,2919,9.6,77.16,Low,"A beautiful wildlife sanctuary in Kerala, famous for elephants, spice plantations, and boating.",3.8866666666666663,15,0.20000000000000018,9,7,1,"a beautiful wildlife sanctuary in kerala, famous for elephants, spice plantations, and boating.",wildlife kerala sep-mar low
36,Fort Kochi,Heritage,Kerala,98,Oct-Feb,0,4.8,3284,9.96,76.24,Low,"A historic port city with colonial architecture, Chinese fishing nets, and vibrant culture.",3.5615384615384613,13,0.8666666666666667,3,7,1,"a historic port city with colonial architecture, chinese fishing nets, and vibrant culture.",heritage kerala oct-feb low
37,Athirapally Falls,Nature,Kerala,77,Jun-Sep,0,4.3,3841,10.27,76.57,Low,"One of India's most spectacular waterfalls, surrounded by dense forests and wildlife.",3.8545454545454545,11,0.5333333333333332,7,7,1,"one of india's most spectacular waterfalls, surrounded by dense forests and wildlife.",nature kerala jun-sep low
38,Kalpetta,Nature,Kerala,63,Sep-Mar,0,4.7,1006,11.56,76.55,Low,"A tranquil hill town in Wayanad, surrounded by misty mountains and coffee plantations.",4.07,10,0.8000000000000003,7,7,1,"a tranquil hill town in wayanad, surrounded by misty mountains and coffee plantations.",nature kerala sep-mar low
39,Bekal Fort,Historical,Kerala,84,Oct-Feb,0,4.8,4117,12.38,75.49,Low,"A beautiful beach fort in Kerala, built by Portuguese traders in the 16th century.",3.811111111111111,9,0.8666666666666667,5,7,1,"a beautiful beach fort in kerala, built by portuguese traders in the 16th century.",historical kerala oct-feb low
40,Marari Beach,Beach,Kerala,73,Sep-Mar,0,4.0,210,9.59,76.55,Low,"A pristine beach in Kerala, known for its untouched beauty and coconut palms.",4.1875,8,0.3333333333333335,1,7,1,"a pristine beach in kerala, known for its untouched beauty and coconut palms.",beach kerala sep-mar low
41,Calangute Beach,Beach,Goa,68,Nov-Feb,0,3.7,4543,15.52,73.75,Low,"India's most popular tourist beach, known for its vibrant atmosphere and water sports.",3.84,10,0.13333333333333375,1,4,1,"india's most popular tourist beach, known for its vibrant atmosphere and water sports.",beach goa nov-feb low
42,Baga Beach,Beach,Goa,85,Nov-Feb,0,3.8,1350,15.55,73.83,Low,"A lively beach in Goa, famous for its nightlife, restaurants, and water sports.",3.627272727272727,11,0.20000000000000018,1,4,1,"a lively beach in goa, famous for its nightlife, restaurants, and water sports.",beach goa nov-feb low
43,Anjuna Beach,Beach,Goa,61,Nov-Feb,0,4.1,4961,15.58,73.74,Low,"A bohemian beach in North Goa, famous for its flea markets and hippie culture.",4.45,8,0.3999999999999999,1,4,1,"a bohemian beach in north goa, famous for its flea markets and hippie culture.",beach goa nov-feb low
44,Palolem Beach,Beach,Goa,79,Nov-Feb,0,4.7,4037,15.01,74.02,Low,"One of the most beautiful beaches in Goa, a crescent-shaped bay with pristine sands.",3.753846153846154,13,0.8000000000000003,1,4,1,"one of the most beautiful beaches in goa, a crescent-shaped bay with pristine sands.",beach goa nov-feb low
45,Basilica of Bom Jesus,Spiritual,Goa,87,Nov-Feb,30,4.8,1577,15.5,73.92,Low,"A UNESCO World Heritage Site, the oldest church in India with the mortal remains of St. Francis Xavier.",4.0,11,0.8666666666666667,8,4,1,"a unesco world heritage site, the oldest church in india with the mortal remains of st. francis xavier.",spiritual goa nov-feb low
46,Dudhsagar Falls,Nature,Goa,66,Jun-Sep,0,3.5,1268,15.31,74.31,Low,"One of Goa's most spectacular waterfalls, surrounded by spice plantations.",4.218181818181818,11,0.0,7,4,1,"one of goa's most spectacular waterfalls, surrounded by spice plantations.",nature goa jun-sep low
47,Chapora Fort,Historical,Goa,67,Nov-Feb,0,4.3,4546,15.62,73.86,Low,A scenic clifftop fort in North Goa with stunning views of the Arabian Sea.,4.116666666666666,12,0.5333333333333332,5,4,1,a scenic clifftop fort in north goa with stunning views of the arabian sea.,historical goa nov-feb low
48,Colva Beach,Beach,Goa,94,Nov-Feb,0,4.1,4785,15.27,73.92,Low,A peaceful beach in South Goa with a relaxed atmosphere and scenic views.,3.78,10,0.3999999999999999,1,4,1,a peaceful beach in south goa with a relaxed atmosphere and scenic views.,beach goa nov-feb low
49,Candolim Beach,Beach,Goa,73,Nov-Feb,0,3.8,3154,15.52,73.87,Low,"A clean, less-crowded beach in North Goa with beautiful white sands.",3.4181818181818184,11,0.20000000000000018,1,4,1,"a clean, less-crowded beach in north goa with beautiful white sands.",beach goa nov-feb low
50,Vagator Beach,Beach,Goa,76,Nov-Feb,0,3.7,2785,15.59,73.86,Low,A dramatic beach with towering red and black volcanic cliffs in North Goa.,3.372727272727273,11,0.13333333333333375,1,4,1,a dramatic beach with towering red and black volcanic cliffs in north goa.,beach goa nov-feb low
51,Shimla,Hill Station,Himachal Pradesh,95,Mar-Jun,0,4.0,4605,31.1,77.17,Medium,"The summer capital of British India, a charming hill station in Himachal Pradesh.",4.066666666666666,6,0.3333333333333335,4,5,2,"the summer capital of british india, a charming hill station in himachal pradesh.",hill station himachal pradesh mar-jun medium
52,Manali,Hill Station,Himachal Pradesh,99,Mar-Jun,0,4.9,1004,32.24,77.18,Medium,"A popular hill station in the Kullu Valley, gateway to the high Himalayas.",3.8666666666666667,6,0.9333333333333336,4,5,2,"a popular hill station in the kullu valley, gateway to the high himalayas.",hill station himachal pradesh mar-jun medium
53,Dharamsala,Cultural,Himachal Pradesh,63,Mar-Jun,0,4.0,4615,32.21,76.31,Medium,"Home of the Dalai Lama and the Tibetan government in exile, a spiritual and cultural hub.",3.471428571428571,7,0.3333333333333335,2,5,2,"home of the dalai lama and the tibetan government in exile, a spiritual and cultural hub.",cultural himachal pradesh mar-jun medium
54,Rohtang Pass,Adventure,Himachal Pradesh,61,May-Jun,0,4.3,3496,32.37,77.15,Medium,"A high mountain pass in the Himalayas, offering stunning views of snowcapped peaks.",3.8428571428571425,7,0.5333333333333332,0,5,2,"a high mountain pass in the himalayas, offering stunning views of snowcapped peaks.",adventure himachal pradesh may-jun medium
55,Solang Valley,Adventure,Himachal Pradesh,65,Dec-Feb,0,4.6,1095,32.32,77.13,Medium,"A beautiful valley with adventure activities like skiing, zorbing, and paragliding.",3.5571428571428574,7,0.7333333333333334,0,5,2,"a beautiful valley with adventure activities like skiing, zorbing, and paragliding.",adventure himachal pradesh dec-feb medium
56,Kasol,Nature,Himachal Pradesh,63,Mar-May,0,4.0,1743,31.99,77.11,Low,"A picturesque village on the banks of the Parvati River, a paradise for trekkers.",3.4,10,0.3333333333333335,7,5,1,"a picturesque village on the banks of the parvati river, a paradise for trekkers.",nature himachal pradesh mar-may low
57,Spiti Valley,Adventure,Himachal Pradesh,88,Apr-Jun,0,5.0,3486,32.08,77.11,Low,"A remote and starkly beautiful valley in the Himalayas, one of the coldest places in India.",4.15,4,1.0,0,5,1,"a remote and starkly beautiful valley in the himalayas, one of the coldest places in india.",adventure himachal pradesh apr-jun low
58,Kullu,Hill Station,Himachal Pradesh,77,Mar-Jun,0,4.9,612,31.95,77.1,Medium,"A scenic valley town in Himachal Pradesh, adventure hub of the western Himalayas.",3.5888888888888886,9,0.9333333333333336,4,5,2,"a scenic valley town in himachal pradesh, adventure hub of the western himalayas.",hill station himachal pradesh mar-jun medium
59,Dalhousie,Hill Station,Himachal Pradesh,85,Mar-Jun,0,3.9,2535,32.53,75.97,Medium,"A beautiful hill station in Himachal Pradesh, known as the Scotland of India.",3.516666666666667,6,0.2666666666666666,4,5,2,"a beautiful hill station in himachal pradesh, known as the scotland of india.",hill station himachal pradesh mar-jun medium
60,Khajjiar,Nature,Himachal Pradesh,93,Mar-Jun,0,4.2,3404,32.04,77.12,Low,A small tourist destination often called the Mini Switzerland of India.,3.5842105263157893,19,0.4666666666666668,7,5,1,a small tourist destination often called the mini switzerland of india.,nature himachal pradesh mar-jun low
61,Rishikesh,Spiritual,Uttarakhand,69,Sep-Jun,0,4.0,275,30.08,78.26,Low,"The Yoga Capital of the World, famous for yoga, meditation, and Ganga Aarti.",3.7142857142857144,7,0.3333333333333335,8,17,1,"the yoga capital of the world, famous for yoga, meditation, and ganga aarti.",spiritual uttarakhand sep-jun low
62,Haridwar,Spiritual,Uttarakhand,95,Sep-Jun,0,3.9,4943,29.94,78.16,Low,"One of the holiest cities in India, on the banks of the Ganges, famous for Ganga Aarti.",3.95,8,0.2666666666666666,8,17,1,"one of the holiest cities in india, on the banks of the ganges, famous for ganga aarti.",spiritual uttarakhand sep-jun low
63,Mussoorie,Hill Station,Uttarakhand,73,Mar-Jun,0,3.6,1009,30.45,78.07,Low,"The Queen of Hills, a scenic hill station in Uttarakhand with toy train and colonial architecture.",4.014285714285714,7,0.06666666666666687,4,17,1,"the queen of hills, a scenic hill station in uttarakhand with toy train and colonial architecture.",hill station uttarakhand mar-jun low
64,Nainital,Hill Station,Uttarakhand,90,Mar-Jun,0,4.4,4598,29.37,78.98,Low,"A beautiful lake city in the Kumaon Himalayas, surrounded by forests.",3.3200000000000003,10,0.6000000000000005,4,17,1,"a beautiful lake city in the kumaon himalayas, surrounded by forests.",hill station uttarakhand mar-jun low
65,Jim Corbett National Park,Wildlife,Uttarakhand,74,Nov-Jun,1000,4.3,3117,29.53,79.21,High,"The oldest national park in Asia, famous for Bengal tigers and elephant safaris.",4.042857142857143,7,0.5333333333333332,9,17,3,"the oldest national park in asia, famous for bengal tigers and elephant safaris.",wildlife uttarakhand nov-jun high
66,Auli,Adventure,Uttarakhand,67,Dec-Mar,0,3.6,865,30.52,79.57,Medium,A ski resort in Uttarakhand with breathtaking views of the Garhwal Himalayas.,3.28,10,0.06666666666666687,0,17,2,a ski resort in uttarakhand with breathtaking views of the garhwal himalayas.,adventure uttarakhand dec-mar medium
67,Valley of Flowers,Nature,Uttarakhand,73,Jul-Aug,0,3.9,4804,30.73,79.6,Low,"A UNESCO World Heritage Site, a valley of hundreds of wild flower species in the Himalayas.",3.4899999999999998,10,0.2666666666666666,7,17,1,"a unesco world heritage site, a valley of hundreds of wild flower species in the himalayas.",nature uttarakhand jul-aug low
68,Kedarnath Temple,Spiritual,Uttarakhand,82,May-Jun,0,4.9,4692,30.73,79.46,Low,"A sacred Shiva temple in the Garhwal Himalayas, one of the Char Dham pilgrimage sites.",3.692857142857143,14,0.9333333333333336,8,17,1,"a sacred shiva temple in the garhwal himalayas, one of the char dham pilgrimage sites.",spiritual uttarakhand may-jun low
69,Badrinath Temple,Spiritual,Uttarakhand,99,May-Jun,0,3.9,3170,30.73,79.45,Low,"One of the holiest temples in Hinduism, dedicated to Lord Vishnu, in the Garhwal Himalayas.",3.4285714285714284,7,0.2666666666666666,8,17,1,"one of the holiest temples in hinduism, dedicated to lord vishnu, in the garhwal himalayas.",spiritual uttarakhand may-jun low
70,Chopta,Nature,Uttarakhand,80,Mar-Jun,0,3.7,66,30.64,79.21,Low,"A beautiful meadow in Uttarakhand, a perfect trek for beginners.",3.5833333333333335,12,0.13333333333333375,7,17,1,"a beautiful meadow in uttarakhand, a perfect trek for beginners.",nature uttarakhand mar-jun low
71,Gateway of India,Historical,Maharashtra,75,Oct-Mar,0,4.2,1293,18.92,72.83,Low,A massive arch built in 1924 by the British to commemorate the landing of King George V.,4.142857142857143,7,0.4666666666666668,5,9,1,a massive arch built in 1924 by the british to commemorate the landing of king george v.,historical maharashtra oct-mar low
72,Marine Drive Mumbai,Beach,Maharashtra,77,Oct-Mar,0,5.0,2255,18.94,72.82,Low,"A 3.6 km long boulevard along the coast of Mumbai, the most beautiful promenade in India.",3.3909090909090907,11,1.0,1,9,1,"a 3.6 km long boulevard along the coast of mumbai, the most beautiful promenade in india.",beach maharashtra oct-mar low
73,Elephanta Caves,Heritage,Maharashtra,83,Oct-Mar,15,3.9,2574,18.47,72.93,Low,"A group of cave temples on Elephanta Island near Mumbai, dedicated to Lord Shiva.",4.029999999999999,10,0.2666666666666666,3,9,1,"a group of cave temples on elephanta island near mumbai, dedicated to lord shiva.",heritage maharashtra oct-mar low
74,Ajanta Caves,Heritage,Maharashtra,85,Oct-Mar,40,4.5,1119,20.55,75.75,Medium,A UNESCO World Heritage Site with 30 rock-cut Buddhist caves from the 2nd century BCE.,3.4444444444444446,9,0.666666666666667,3,9,2,a unesco world heritage site with 30 rock-cut buddhist caves from the 2nd century bce.,heritage maharashtra oct-mar medium
75,Ellora Caves,Heritage,Maharashtra,84,Oct-Mar,40,4.6,3494,19.92,75.34,Medium,"A UNESCO World Heritage Site with 34 cave temples dedicated to Hindu, Buddhist, and Jain traditions.",3.8166666666666664,12,0.7333333333333334,3,9,2,"a unesco world heritage site with 34 cave temples dedicated to hindu, buddhist, and jain traditions.",heritage maharashtra oct-mar medium
76,Lonavala,Nature,Maharashtra,88,Jun-Sep,0,3.9,2615,18.75,73.4,Low,"A popular hill station near Mumbai, famous for its scenic landscapes and waterfalls.",3.8153846153846156,13,0.2666666666666666,7,9,1,"a popular hill station near mumbai, famous for its scenic landscapes and waterfalls.",nature maharashtra jun-sep low
77,Mahabaleshwar,Hill Station,Maharashtra,74,Apr-Jun,0,4.6,1110,18.11,73.67,Medium,"A hill station in the Sahyadri range, known as the Strawberry Capital of India.",3.6636363636363636,11,0.7333333333333334,4,9,2,"a hill station in the sahyadri range, known as the strawberry capital of india.",hill station maharashtra apr-jun medium
78,Aurangabad,Historical,Maharashtra,60,Oct-Mar,0,4.1,2377,19.88,75.32,Low,A city known as the gateway to the Ajanta and Ellora caves.,3.5,12,0.3999999999999999,5,9,1,a city known as the gateway to the ajanta and ellora caves.,historical maharashtra oct-mar low
79,Shirdi,Spiritual,Maharashtra,84,Oct-Mar,0,4.4,3470,19.62,74.97,Low,"A holy town in Maharashtra, home to the Sai Baba temple.",3.6666666666666665,12,0.6000000000000005,8,9,1,"a holy town in maharashtra, home to the sai baba temple.",spiritual maharashtra oct-mar low
80,Pune,Cultural,Maharashtra,66,Oct-Mar,0,4.5,351,18.52,73.85,Low,"The Oxford of the East, a vibrant city with numerous educational institutions and IT companies.",3.646153846153846,13,0.666666666666667,2,9,1,"the oxford of the east, a vibrant city with numerous educational institutions and it companies.",cultural maharashtra oct-mar low
81,Kaziranga National Park,Wildlife,Assam,68,Nov-Apr,50,4.3,4326,26.63,93.2,Medium,"A UNESCO World Heritage Site, home to the Indian one-horned rhinoceros.",4.05,6,0.5333333333333332,9,2,2,"a unesco world heritage site, home to the indian one-horned rhinoceros.",wildlife assam nov-apr medium
82,Cherrapunji,Nature,Meghalaya,83,Oct-Jun,25,3.6,656,25.28,91.68,Low,"The wettest place on Earth, famous for its living root bridges and meghalayan caves.",3.769230769230769,13,0.06666666666666687,7,11,1,"the wettest place on earth, famous for its living root bridges and meghalayan caves.",nature meghalaya oct-jun low
83,Shillong,Hill Station,Meghalaya,60,Oct-Jun,400,4.8,3220,25.56,91.88,High,"The capital of Meghalaya, a beautiful hill city with colonial architecture.",4.016666666666667,6,0.8666666666666667,4,11,3,"the capital of meghalaya, a beautiful hill city with colonial architecture.",hill station meghalaya oct-jun high
84,Tawang Monastery,Spiritual,Arunachal Pradesh,67,Apr-Oct,40,4.0,749,27.1,91.86,Medium,"A Buddhist monastery near the China border, the largest monastery in the country.",3.7916666666666665,12,0.3333333333333335,8,1,2,"a buddhist monastery near the china border, the largest monastery in the country.",spiritual arunachal pradesh apr-oct medium
85,Ziro Valley,Nature,Arunachal Pradesh,83,Oct-May,0,3.8,1189,27.47,93.83,Low,"A remote valley in Arunachal Pradesh, home to the Apatani tribe.",4.3999999999999995,6,0.20000000000000018,7,1,1,"a remote valley in arunachal pradesh, home to the apatani tribe.",nature arunachal pradesh oct-may low
86,Majuli Island,Nature,Assam,70,Oct-Apr,0,3.6,240,26.74,94.24,Low,"The largest river island in the world, known for its Vaishnavite monasteries and culture.",3.725,8,0.06666666666666687,7,2,1,"the largest river island in the world, known for its vaishnavite monasteries and culture.",nature assam oct-apr low
87,Dzukou Valley,Nature,Nagaland,76,Oct-May,0,4.4,2350,25.95,94.56,Low,A high-altitude valley in Nagaland with stunning landscapes and rich biodiversity.,3.225,8,0.6000000000000005,7,12,1,a high-altitude valley in nagaland with stunning landscapes and rich biodiversity.,nature nagaland oct-may low
88,Loktak Lake,Nature,Manipur,67,Oct-May,50,4.5,1030,24.78,93.77,Medium,"A freshwater lake in Manipur, home to floating islands and a unique ecosystem.",3.3899999999999997,10,0.666666666666667,7,10,2,"a freshwater lake in manipur, home to floating islands and a unique ecosystem.",nature manipur oct-may medium
